,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
0,Detroit Lions,0,16,0,0.000,268,517,-249,0 - 8 - 0,0 - 8 - 0,0 - 6 - 0,0.000,0 - 12 - 0,0.000,0 - 4 - 0,16L,0 - 5 - 0
1,Kansas City Chiefs,2,14,0,0.125,291,440,-149,1 - 7 - 0,1 - 7 - 0,2 - 4 - 0,0.333,2 - 10 - 0,0.167,0 - 4 - 0,4L,1 - 4 - 0
2,Los Angeles Rams,2,14,0,0.125,232,465,-233,1 - 7 - 0,1 - 7 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,0 - 4 - 0,10L,0 - 5 - 0
3,Cincinnati Bengals,4,11,1,0.281,204,364,-160,3 - 4 - 1,1 - 7 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 2 - 1,3W,3 - 2 - 0
4,Cleveland Browns,4,12,0,0.250,232,350,-118,1 - 7 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,1 - 3 - 0,6L,0 - 5 - 0
5,Seattle Seahawks,4,12,0,0.250,294,392,-98,2 - 6 - 0,2 - 6 - 0,3 - 3 - 0,0.500,3 - 9 - 0,0.250,1 - 3 - 0,1L,2 - 3 - 0
6,Jacksonville Jaguars,5,11,0,0.313,302,367,-65,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,2 - 2 - 0,2L,1 - 4 - 0
7,Las Vegas Raiders,5,11,0,0.313,263,388,-125,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,2W,2 - 3 - 0
8,Green Bay Packers,6,10,0,0.375,419,380,39,4 - 4 - 0,2 - 6 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,1 - 3 - 0,1W,1 - 4 - 0
9,Buffalo Bills,7,9,0,0.438,336,342,-6,3 - 5 - 0,4 - 4 - 0,0 - 6 - 0,0.000,5 - 7 - 0,0.417,2 - 2 - 0,1L,1 - 4 - 0
10,San Francisco 49ers,7,9,0,0.438,339,381,-42,4 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,2W,4 - 1 - 0
11,Denver Broncos,8,8,0,0.500,370,448,-78,4 - 4 - 0,4 - 4 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,3 - 1 - 0,3L,2 - 3 - 0
12,Houston Texans,8,8,0,0.500,366,394,-28,6 - 2 - 0,2 - 6 - 0,2 - 4 - 0,0.333,5 - 7 - 0,0.417,3 - 1 - 0,1W,4 - 1 - 0
