,NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
0,Los Angeles Rams,1,15,0,0.063,175,436,-261,0 - 8 - 0,1 - 7 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,0 - 4 - 0,8L,0 - 5 - 0
1,Detroit Lions,2,14,0,0.125,262,494,-232,2 - 6 - 0,0 - 8 - 0,0 - 6 - 0,0.000,1 - 11 - 0,0.083,1 - 3 - 0,6L,0 - 5 - 0
2,Tampa Bay Buccaneers,3,13,0,0.188,244,400,-156,1 - 7 - 0,2 - 6 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.250,0 - 4 - 0,1L,2 - 3 - 0
3,Kansas City Chiefs,4,12,0,0.250,294,424,-130,1 - 7 - 0,3 - 5 - 0,2 - 4 - 0,0.333,3 - 9 - 0,0.250,1 - 3 - 0,1W,1 - 4 - 0
4,Washington Commanders,4,12,0,0.250,266,336,-70,3 - 5 - 0,1 - 7 - 0,0 - 6 - 0,0.000,2 - 10 - 0,0.167,2 - 2 - 0,3L,1 - 4 - 0
5,Cleveland Browns,5,11,0,0.313,245,375,-130,3 - 5 - 0,2 - 6 - 0,1 - 5 - 0,0.167,5 - 7 - 0,0.417,0 - 4 - 0,4W,4 - 1 - 0
6,Las Vegas Raiders,5,11,0,0.313,197,379,-182,2 - 6 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,1 - 3 - 0,2L,2 - 3 - 0
7,Seattle Seahawks,5,11,0,0.313,280,390,-110,4 - 4 - 0,1 - 7 - 0,3 - 3 - 0,0.500,4 - 8 - 0,0.333,1 - 3 - 0,4L,1 - 4 - 0
8,Buffalo Bills,6,10,0,0.375,258,326,-68,3 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,2 - 2 - 0,1W,2 - 3 - 0
9,Chicago Bears,7,9,0,0.438,327,375,-48,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,5 - 7 - 0,0.417,2 - 2 - 0,2W,3 - 2 - 0
10,Jacksonville Jaguars,7,9,0,0.438,290,380,-90,5 - 3 - 0,2 - 6 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,1 - 3 - 0,4L,1 - 4 - 0
11,Miami Dolphins,7,9,0,0.438,360,390,-30,4 - 4 - 0,3 - 5 - 0,4 - 2 - 0,0.667,5 - 7 - 0,0.417,2 - 2 - 0,3L,2 - 3 - 0
12,Carolina Panthers,8,8,0,0.500,315,308,7,5 - 3 - 0,3 - 5 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,0 - 4 - 0,3W,4 - 1 - 0
13,Denver Broncos,8,8,0,0.500,326,324,2,4 - 4 - 0,4 - 4 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,2 - 2 - 0,4L,1 - 4 - 0
14,New York Giants,8,8,0,0.500,402,427,-25,4 - 4 - 0,4 - 4 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.500,2 - 2 - 0,2L,2 - 3 - 0
15,San Francisco 49ers,8,8,0,0.500,330,281,49,6 - 2 - 0,2 - 6 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,1 - 3 - 0,2W,3 - 2 - 0
16,Tennessee Titans,8,8,0,0.500,354,402,-48,5 - 3 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,4 - 0 - 0,1W,3 - 2 - 0
17,Atlanta Falcons,9,7,0,0.563,363,325,38,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,6 - 6 - 0,0.500,3 - 1 - 0,3W,3 - 2 - 0
18,Baltimore Ravens,9,7,0,0.563,391,261,130,6 - 2 - 0,3 - 5 - 0,3 - 3 - 0,0.500,7 - 5 - 0,0.583,2 - 2 - 0,1W,3 - 2 - 0
19,Houston Texans,9,7,0,0.563,388,333,55,4 - 4 - 0,5 - 3 - 0,1 - 5 - 0,0.167,6 - 6 - 0,0.500,3 - 1 - 0,4W,4 - 1 - 0
20,New York Jets,9,7,0,0.563,348,236,112,4 - 4 - 0,5 - 3 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,2 - 2 - 0,2W,4 - 1 - 0
21,Pittsburgh Steelers,9,7,0,0.563,368,324,44,6 - 2 - 0,3 - 5 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.500,3 - 1 - 0,3W,3 - 2 - 0
22,Arizona Cardinals,10,6,0,0.625,375,325,50,4 - 4 - 0,6 - 2 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,2 - 2 - 0,1L,3 - 2 - 0
23,Cincinnati Bengals,10,6,0,0.625,305,291,14,6 - 2 - 0,4 - 4 - 0,6 - 0 - 0,1.000,7 - 5 - 0,0.583,3 - 1 - 0,1L,2 - 3 - 0
24,New England Patriots,10,6,0,0.625,427,285,142,8 - 0 - 0,2 - 6 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 1 - 0,1L,3 - 2 - 0
25,Dallas Cowboys,11,5,0,0.688,361,250,111,6 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,2 - 2 - 0,3W,3 - 2 - 0
26,Green Bay Packers,11,5,0,0.688,461,297,164,6 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,2 - 2 - 0,2W,4 - 1 - 0
27,Philadelphia Eagles,11,5,0,0.688,429,337,92,6 - 2 - 0,5 - 3 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,2 - 2 - 0,1L,4 - 1 - 0
28,Minnesota Vikings,12,4,0,0.750,470,312,158,8 - 0 - 0,4 - 4 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,3 - 1 - 0,1W,2 - 3 - 0
29,Los Angeles Chargers,13,3,0,0.813,454,320,134,6 - 2 - 0,7 - 1 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.750,4 - 0 - 0,11W,5 - 0 - 0
30,New Orleans Saints,13,3,0,0.813,510,341,169,6 - 2 - 0,7 - 1 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.750,4 - 0 - 0,3L,2 - 3 - 0
31,Indianapolis Colts,14,2,0,0.875,416,307,109,7 - 1 - 0,7 - 1 - 0,6 - 0 - 0,1.000,10 - 2 - 0,0.833,4 - 0 - 0,2L,3 - 2 - 0
